,Store Number,City,retailpriceperliter mean,Sale (Dollars) sum,Sale (Dollars) mean,Zip Code,County,grossprofit sum,grossprofit mean,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date
319,3806,WEST DES MOINES,19.0583651615,253777.9,200.456477093,50266,Polk,7537.81,5.95403633491,14048.93,11.0971011058,2015-01-05,2016-03-28
320,3808,LA PORTE CITY,15.8730373194,111061.17,58.1472094241,50651,Black Hawk,8754.11,4.58330366492,8795.5,4.60497382199,2015-01-06,2016-03-29
321,3811,KEOKUK,14.1929662422,209978.22,146.224387187,52632,Lee,7323.32,5.09980501393,15865.5,11.0483983287,2015-01-05,2016-03-28
322,3813,MOUNT AYR,13.5805799806,80542.21,83.6367705088,50854,Ringgold,4658.22,4.83719626168,6705.15,6.96277258567,2015-01-06,2016-03-29
323,3814,WEST DES MOINES,26.5986123009,2899909.45,2350.00765802,50266,Dallas,10716.08,8.68401944895,145924.8,118.253484603,2015-01-05,2016-03-28
324,3816,RED OAK,17.3895827687,160416.93,81.3885996956,51566,Montgomery,10089.83,5.11914256722,12406.98,6.29476407915,2015-01-06,2016-03-29
325,3818,KNOXVILLE,17.1399720185,198661.93,31.4786769133,50138,Marion,28299.68,4.48418317224,14027.35,2.22268261765,2015-01-07,2016-03-30
326,3819,DECORAH,17.5818944561,280512.53,96.2637371311,52101,Winneshiek,15332.6,5.26170212766,22400.23,7.68710706932,2015-01-07,2016-03-30
329,3825,DES MOINES,20.4003031042,203486.12,95.2650374532,50316,Polk,8252.24,3.8634082397,12421.46,5.81529026217,2015-01-07,2016-03-30
331,3829,MOUNT VERNON,15.4313004475,142561.41,63.1921143617,52314,Linn,9957.21,4.41365691489,11672.9,5.17415780142,2015-01-05,2016-03-28
332,3830,CRESTON,13.9850596455,305846.82,156.363404908,50801,Union,10318.23,5.27516871166,24306.0,12.4263803681,2015-01-06,2016-03-29
333,3831,MADRID,15.3550152805,85776.69,54.7045216837,50156,Boone,6782.19,4.32537627551,7153.92,4.56244897959,2015-01-08,2016-03-31
334,3833,ATLANTIC,14.543307878,186288.96,171.694894009,50022,Cass,5948.58,5.48256221198,14553.0,13.4129032258,2015-01-05,2016-03-28
335,3838,BETTENDORF,15.4284884737,377968.27,143.061419379,52722,Iowa,13498.64,5.10925056775,26773.5,10.1338001514,2015-01-05,2016-03-28
336,3841,DUBUQUE,14.6137510232,61261.75,40.5975811796,52001,Dubuque,5486.96,3.63615639496,5885.18,3.90005301524,2015-01-07,2016-03-29
337,3842,BANCROFT,18.3132719191,312054.71,103.090422861,50517,Kossuth,16550.42,5.46759828213,21305.22,7.03839444995,2015-01-07,2016-03-30
339,3849,DYERSVILLE,17.1251522514,79981.92,90.6824489796,52040,Dubuque,4122.66,4.67421768707,6188.93,7.01692743764,2015-01-07,2016-03-29
340,3853,DAVENPORT,19.3687465105,148604.41,145.83357213,52804,Scott,3315.06,3.25324828263,8756.57,8.59329735034,2015-01-07,2016-03-30
341,3855,STORM LAKE,19.4440024382,70766.88,53.4089660377,50588,Buena Vista,6373.63,4.81028679245,4721.15,3.56313207547,2015-01-07,2016-03-23
342,3857,WAUKON,15.6177190457,322204.26,101.834469027,52172,Allamakee,16510.64,5.2182806574,23902.42,7.554494311,2015-01-07,2016-03-30
343,3858,DAVENPORT,17.686599799,199807.78,69.329555864,52806,Scott,12739.59,4.42039902845,14941.8,5.18452463567,2015-01-08,2016-03-31
344,3859,INDEPENDENCE,15.0392853201,244079.16,202.052284768,50644,Buchanan,6461.25,5.34871688742,18939.0,15.6779801325,2015-01-05,2016-03-28
347,3868,MARION,14.3520376754,557774.48,166.152660113,52302,Linn,17283.48,5.14848972297,43635.25,12.9982871612,2015-01-05,2016-03-28
348,3869,CORALVILLE,24.2538343518,378546.12,56.1641127596,52241,Johnson,40853.64,6.06137091988,18068.27,2.68075222552,2015-01-07,2016-03-30
350,3871,WEST DES MOINES,20.2038162706,94898.67,173.489341865,50266,Polk,3334.78,6.09648994516,4939.2,9.02961608775,2015-01-05,2016-03-28
351,3872,DUBUQUE,19.3864978355,56256.67,170.474757576,52003,Dubuque,1922.03,5.82433333333,3110.5,9.42575757576,2015-01-07,2016-03-22
352,3873,CORALVILLE,19.6466452645,149578.43,182.858716381,52241,Johnson,4974.91,6.08179706601,7980.15,9.75568459658,2015-01-07,2016-03-30
353,3876,MANSON,13.6074627204,79936.92,76.4215296367,50563,Calhoun,4348.65,4.15740917782,6567.05,6.27825047801,2015-01-07,2016-03-30
354,3877,DES MOINES,19.1781138119,138004.14,169.538255528,50322,Polk,5005.95,6.14981572482,7568.0,9.2972972973,2015-01-08,2016-03-31
355,3879,SIOUX CITY,18.1575024334,104123.2,163.71572327,51106,Woodbury,4034.07,6.34287735849,6036.9,9.49198113208,2015-01-07,2016-03-23
357,3881,MARSHALLTOWN,21.319439334,448932.04,183.537219951,50158,Marshall,16294.64,6.66174979558,24613.37,10.0627023712,2015-01-06,2016-03-29
358,3882,DAVENPORT,15.5621904637,51146.57,55.0555113025,52802,Scott,2687.97,2.893401507,4357.6,4.6906350915,2015-01-05,2016-03-28
