,Store Number,City,retailpriceperliter mean,Sale (Dollars) sum,Sale (Dollars) mean,Zip Code,County,grossprofit sum,grossprofit mean,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date
963,4821,OSKALOOSA,15.4059766764,5990.6,122.257142857,52577,Mahaska,158.47,3.23408163265,446.1,9.10408163265,2015-01-05,2016-03-28
966,4825,OSCEOLA,13.4928021978,4187.55,80.5298076923,50213,Clarke,163.63,3.14673076923,408.6,7.85769230769,2015-01-05,2016-03-28
970,4831,BOONE,21.1431434189,5317.86,61.1248275862,50036,Boone,428.69,4.92747126437,453.56,5.21333333333,2015-01-06,2016-03-29
971,4836,IOWA CITY,16.412324186,20875.6,85.2065306122,52240,Johnson,1049.18,4.28236734694,1772.69,7.23546938776,2015-01-05,2016-03-28
975,4840,WATERLOO,21.3948507622,11603.84,66.3076571429,50707,Black Hawk,588.58,3.36331428571,689.51,3.94005714286,2015-01-07,2016-03-30
976,4841,DAVENPORT,16.4941829004,12724.96,96.4012121212,52804,Scott,369.11,2.79628787879,883.57,6.69371212121,2015-01-06,2016-03-29
977,4843,MUSCATINE,19.5535143424,2924.59,31.4472043011,52761,Muscatine,362.49,3.89774193548,173.2,1.8623655914,2015-01-07,2016-03-29
980,4846,ONAWA,16.0989346247,6907.89,117.082881356,51040,Monona,213.69,3.62186440678,480.45,8.14322033898,2015-01-08,2016-03-31
981,4847,LECLAIRE,17.6964536341,28811.17,68.7617422434,52753,Scott,1960.19,4.67825775656,2382.21,5.68546539379,2015-01-06,2016-03-29
984,4852,CEDAR RAPIDS,17.9168355285,8235.46,98.0411904762,52404,Linn,351.52,4.18476190476,537.4,6.39761904762,2015-01-08,2016-03-24
985,4853,JOHNSTON,16.7369753599,6599.16,76.7344186047,50131,Polk,373.7,4.34534883721,455.28,5.29395348837,2015-01-06,2016-03-29
990,4858,WEST BURLINGTON,19.4520297871,2698.28,36.4632432432,52655,Des Moines,268.52,3.62864864865,158.75,2.14527027027,2015-01-06,2016-03-22
995,4866,COUNCIL BLUFFS,18.0155860208,26301.77,41.096515625,51501,Pottawattamie,2370.06,3.70321875,1766.79,2.760609375,2015-01-06,2016-03-29
998,4869,GUTTENBERG,19.8237678571,8527.39,106.592375,52052,Clayton,488.11,6.101375,522.0,6.525,2015-01-06,2016-03-22
999,4872,EARLHAM,15.7364093013,5065.83,85.8615254237,50072,Madison,219.54,3.72101694915,460.71,7.8086440678,2015-01-07,2016-03-30
1004,4878,PRIMGHAR,16.783627089,16083.42,72.1229596413,51245,O'Brien,1218.29,5.4631838565,1204.12,5.39964125561,2015-01-05,2016-03-28
1005,4879,SIOUX CITY,17.3579637387,74100.82,134.484246824,51106,Woodbury,2136.57,3.87762250454,4998.68,9.07201451906,2015-01-08,2016-03-31
1008,4883,SIGOURNEY,13.9451185294,9183.57,34.5246992481,52591,Keokuk,1085.58,4.08112781955,855.61,3.21657894737,2015-01-08,2016-03-31
1010,4885,ZWINGLE,17.841155633,7909.63,96.458902439,52079,Jackson,336.1,4.0987804878,544.25,6.63719512195,2015-01-05,2016-03-21
1011,4887,WEST DES MOINES,15.7662610229,6909.12,127.946666667,50266,Polk,233.93,4.33203703704,479.25,8.875,2015-01-08,2016-03-31
1012,4888,SERGEANT BLUFF,20.1806150071,21026.45,50.6661445783,51054,Woodbury,1645.44,3.96491566265,1265.05,3.04831325301,2015-01-08,2016-03-31
1013,4890,URBANDALE,16.539047619,5740.87,124.801521739,50323,Polk,166.0,3.60869565217,415.55,9.03369565217,2015-01-08,2016-03-31
1014,4891,SIBLEY,15.867140553,45987.42,98.8976774194,51249,Osceola,2349.41,5.05249462366,3547.4,7.6288172043,2015-01-08,2016-03-31
1015,4892,DAVENPORT,20.5573492938,26526.4,24.6757209302,52802,Scott,3621.26,3.36861395349,1676.04,1.55910697674,2015-01-06,2016-03-29
1016,4893,WEST DES MOINES,14.2899409107,10605.96,77.4157664234,50265,Polk,429.25,3.13321167883,859.95,6.27700729927,2015-01-05,2016-03-28
1017,4895,CEDAR RAPIDS,23.3831355393,39827.37,88.7023830735,52402,Linn,2145.48,4.7783518931,1959.53,4.36420935412,2015-01-08,2016-03-31
1019,4897,BURLINGTON,20.1655071119,50083.05,130.085844156,52601,Des Moines,1520.41,3.94911688312,2856.45,7.41935064935,2015-01-06,2016-03-29
1024,4902,WATERLOO,23.2928973367,20733.69,88.9857939914,50703,Black Hawk,877.97,3.76811158798,1098.22,4.71339055794,2015-01-07,2016-03-30
1025,4904,LARCHWOOD,17.0405358589,16227.77,49.9316,51241,Lyon,1548.55,4.76476923077,1493.14,4.59427692308,2015-01-05,2016-03-28
1026,4905,ROCKWELL CITY,12.6409821429,10970.76,66.8948780488,50579,Calhoun,649.38,3.95963414634,1043.37,6.36201219512,2015-01-06,2016-03-29
1029,4909,ROCK VALLEY,13.8619022017,23247.95,124.988978495,51247,Sioux,827.66,4.44978494624,1921.0,10.3279569892,2015-01-06,2016-03-29
1033,4914,CEDAR FALLS,15.234015059,26521.52,113.33982906,50613,Black Hawk,987.08,4.21829059829,1970.85,8.42243589744,2015-01-05,2016-03-31
1037,4921,CEDAR RAPIDS,18.3235601278,10927.88,64.6620118343,52404,Linn,549.97,3.25426035503,802.09,4.74609467456,2015-01-07,2016-03-30
1039,4924,NASHUA,14.8917529331,12781.16,61.7447342995,50658,Chickasaw,1081.29,5.22362318841,1047.55,5.06062801932,2015-01-08,2016-03-31
1040,4925,URBANDALE,15.2749222079,7412.27,53.7121014493,50266,Polk,525.5,3.80797101449,588.45,4.26413043478,2015-01-08,2016-03-31
1041,4926,DES MOINES,22.2769752506,7631.62,50.2080263158,50322,Polk,603.82,3.9725,409.35,2.69309210526,2015-01-07,2016-03-30
1043,4929,ADEL,14.0003322259,5946.18,138.283255814,50003,Dallas,143.39,3.33465116279,438.6,10.2,2015-01-07,2016-03-30
1046,4933,BURLINGTON,20.0277726575,3738.6,120.6,52601,Des Moines,96.35,3.10806451613,238.35,7.68870967742,2015-01-08,2016-03-31
1050,4938,HAZLETON,15.7601814059,9120.72,144.773333333,50641,Buchanan,228.39,3.62523809524,640.45,10.1658730159,2015-01-07,2016-03-24
1056,4945,OSAGE,17.1204245473,31535.9,37.6323389021,50461,Mitchell,4333.86,5.17167064439,2362.9,2.81968973747,2015-01-05,2016-03-28
1058,4948,WHEATLAND,15.5817042607,2891.31,76.0871052632,52777,Clinton,162.63,4.27973684211,208.5,5.48684210526,2015-01-07,2016-03-30
1059,4949,DAVENPORT,16.6708068972,17776.92,74.6929411765,52802,Scott,823.91,3.46180672269,1526.08,6.41210084034,2015-01-07,2016-03-30
1060,4950,CEDAR RAPIDS,16.0098576432,11514.84,79.9641666667,52403,Linn,446.61,3.10145833333,820.3,5.69652777778,2015-01-08,2016-03-31
1061,4952,DAVENPORT,19.2610929432,28134.88,169.487228916,52804,Scott,675.5,4.06927710843,1737.35,10.4659638554,2015-01-06,2016-03-29
1062,4953,LOST NATION,20.5958015873,5031.05,83.8508333333,52254,Clinton,302.85,5.0475,370.29,6.1715,2015-01-05,2016-03-28
1063,4956,CEDAR RAPIDS,20.1736416391,12136.45,62.8831606218,52405,Linn,919.24,4.7629015544,777.91,4.03062176166,2015-01-06,2016-03-28
1068,4961,DUBUQUE,16.3825252525,2256.37,68.3748484848,52003,Dubuque,108.68,3.29333333333,185.25,5.61363636364,2015-01-08,2016-03-28
1069,4962,DAVENPORT,18.5850732171,45024.4,211.382159624,52803,Scott,657.03,3.08464788732,3041.42,14.2789671362,2015-01-05,2016-03-28
1070,4967,BLUE GRASS,15.6066003347,21828.04,26.6195609756,52726,Scott,3000.78,3.65948780488,1817.9,2.21695121951,2015-01-06,2016-03-29
1071,4968,BROOKLYN,14.5083709273,2858.16,150.429473684,52211,Poweshiek,79.23,4.17,234.0,12.3157894737,2015-01-06,2016-03-29
1072,4969,CLEAR LAKE,19.4180374845,154499.12,143.586542751,50428,Cerro Gordo,6542.12,6.08003717472,10394.47,9.66028810409,2015-01-07,2016-03-30
1076,4973,WEST UNION,14.3012878442,67595.31,107.979728435,52175,Fayette,3089.07,4.93461661342,5761.75,9.20407348243,2015-01-05,2016-03-28
1078,4975,SIOUX CITY,17.2591836735,7779.65,138.922321429,51104,Woodbury,253.56,4.52785714286,492.8,8.8,2015-01-05,2016-03-28
1080,4979,CEDAR RAPIDS,21.1689361702,9042.04,192.383829787,52402,Linn,206.73,4.3985106383,406.6,8.65106382979,2015-01-07,2016-03-30
1083,4982,ALTA,10.2988471178,2204.22,116.011578947,51002,Buena Vista,52.55,2.76578947368,229.5,12.0789473684,2015-01-06,2016-03-29
1084,4983,WEST BURLINGTON,16.9371889401,4246.98,136.999354839,52655,Des Moines,115.54,3.72709677419,320.4,10.335483871,2015-01-05,2016-03-28
1086,4985,MERRILL,13.9385739087,3694.23,76.963125,51038,Plymouth,168.72,3.515,299.32,6.23583333333,2015-01-06,2016-03-29
1088,4987,AMES,16.9028624808,3546.5,27.2807692308,50010,Story,509.14,3.91646153846,274.23,2.10946153846,2015-01-05,2016-03-28
1089,4988,CEDAR FALLS,22.0459477523,135214.11,63.7501697313,50613,Black Hawk,11934.46,5.62680810938,8225.94,3.87833097595,2015-01-05,2016-03-28
1090,4989,IOWA CITY,15.2515496368,4393.15,74.4601694915,52240,Johnson,206.82,3.50542372881,334.85,5.67542372881,2015-01-06,2016-03-29
1091,4991,ELKADER,17.4561904762,8265.72,179.689565217,52043,Clayton,219.79,4.77804347826,495.0,10.7608695652,2015-01-08,2016-03-31
1092,4992,DANVILLE,16.9549911817,2241.8,83.0296296296,52623,Des Moines,109.14,4.04222222222,158.25,5.86111111111,2015-01-06,2016-03-29
1093,4993,KEOKUK,15.0749339127,25198.33,95.8111406844,52632,Lee,977.47,3.71661596958,1934.2,7.35437262357,2015-01-08,2016-03-31
1094,4995,HARLAN,17.1827091604,12093.72,40.4472240803,51537,Shelby,1189.53,3.97836120401,1114.78,3.72836120401,2015-01-06,2016-03-29
1095,4996,DUBUQUE,23.622173913,2381.51,103.543913043,52001,Dubuque,92.49,4.02130434783,104.75,4.55434782609,2015-01-07,2016-03-30
