,Store Number,City,retailpriceperliter mean,Sale (Dollars) sum,Sale (Dollars) mean,Zip Code,County,grossprofit sum,grossprofit mean,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date
929,4715,WEST DES MOINES,14.0539206349,32055.9,133.56625,50265,Polk,1106.17,4.60904166667,2491.5,10.38125,2015-01-16,2016-03-28
935,4721,BURLINGTON,17.1239917184,20575.8,178.92,52601,Des Moines,625.46,5.4387826087,1290.0,11.2173913043,2015-01-12,2016-03-21
936,4722,BURLINGTON,16.4244650588,27546.24,178.871688312,56201,Des Moines,759.16,4.92961038961,1887.0,12.2532467532,2015-01-16,2016-03-28
937,4723,CEDAR FALLS,16.2133066933,23131.62,161.75958042,50613,Black Hawk,730.76,5.11020979021,1638.0,11.4545454545,2015-02-04,2016-03-23
938,4724,NEWTON,13.9417044135,16069.44,130.645853659,50208,Jasper,592.16,4.81430894309,1246.8,10.1365853659,2015-01-15,2016-03-28
940,4726,ANKENY,14.3130979875,57706.32,133.270946882,50021,Polk,2033.93,4.69729792148,4213.5,9.73094688222,2015-01-13,2016-03-29
941,4727,ANKENY,15.1332426304,29915.16,142.453142857,50021,Polk,1027.54,4.89304761905,2130.0,10.1428571429,2015-01-13,2016-03-29
942,4728,IOWA CITY,16.8060697198,26273.55,125.71076555,52240,Johnson,1054.81,5.04693779904,1775.5,8.495215311,2015-02-11,2016-03-23
944,4730,JOHNSTON,16.4618585298,28747.08,139.548932039,50131,Polk,1050.84,5.10116504854,1873.5,9.09466019417,2015-01-27,2016-03-28
946,4732,CLIVE,18.8489062175,39066.48,170.595982533,50325,Polk,1309.16,5.7168558952,2219.4,9.69170305677,2015-02-03,2016-03-22
951,4737,STORM LAKE,17.9193530997,8342.4,157.403773585,50588,Buena Vista,285.52,5.38716981132,508.5,9.59433962264,2015-04-22,2016-03-30
955,4741,COUNCIL BLUFFS,15.067029367,57777.65,141.95982801,51503,Pottawattamie,1840.57,4.52228501229,4051.5,9.95454545455,2015-01-13,2016-03-22
960,4746,MUSCATINE,15.4232182873,17635.38,148.196470588,52761,Muscatine,620.84,5.21714285714,1267.8,10.6537815126,2015-01-16,2016-03-21
962,4748,DAVENPORT,17.7231102041,26753.31,152.876057143,52807,Scott,896.79,5.12451428571,1635.9,9.348,2015-01-22,2016-03-31
968,4754,WAVERLY,15.858583043,18525.78,150.616097561,50677,Bremer,636.73,5.17666666667,1242.0,10.0975609756,2015-01-20,2016-03-22
969,4755,MASON CITY,15.597325228,13013.49,138.441382979,50401,Cerro Gordo,492.32,5.23744680851,873.0,9.28723404255,2015-01-22,2016-03-31
973,4760,WATERLOO,14.9036720668,28168.44,145.19814433,50701,Black Hawk,919.78,4.74113402062,1971.0,10.1597938144,2015-01-13,2016-03-29
974,4761,WATERLOO,14.8759322034,16844.22,142.747627119,50701,Black Hawk,584.0,4.94915254237,1183.5,10.0296610169,2015-02-05,2016-03-31
979,4767,ANKENY,17.2009183275,40495.73,56.4794002789,50023,Polk,2882.91,4.02079497908,3236.44,4.51386331939,2015-01-16,2016-03-30
982,4770,HUDSON,14.8833919775,30226.09,148.896995074,50643,Black Hawk,818.4,4.0315270936,2303.65,11.3480295567,2015-01-13,2016-03-29
983,4771,CEDAR RAPIDS,18.4118123435,51807.72,69.6340322581,52402,Linn,2671.05,3.59012096774,3537.09,4.75415322581,2015-01-26,2016-03-21
986,4775,DAKOTA CITY,14.9159722222,15192.86,90.4336904762,50529,Humboldt,523.93,3.11863095238,1439.25,8.56696428571,2015-01-27,2016-03-22
991,4780,BRITT,14.6054292305,33302.3,115.232871972,50423,Hancock,1074.71,3.71871972318,2749.85,9.51505190311,2015-01-14,2016-03-23
993,4782,LAMONI,16.1248855721,27321.78,81.5575522388,50140,Decatur,1193.32,3.56214925373,1988.85,5.93686567164,2015-02-05,2016-03-31
994,4783,EMMETSBURG,15.1545248227,32454.54,138.104425532,50536,Palo Alto,922.85,3.9270212766,2328.75,9.90957446809,2015-01-13,2016-03-22
997,4787,SWISHER,17.3031343833,44030.79,85.1659381044,52338,Johnson,2564.39,4.96013539652,3292.4,6.36827852998,2015-01-15,2016-03-24
1002,4792,DE SOTO,13.6041269841,17526.84,127.006086957,50069,Dallas,459.2,3.32753623188,1465.05,10.6163043478,2015-02-10,2016-03-28
1003,4793,FORT MADISON,20.1816815456,25569.94,48.5198102467,52627,Lee,2018.4,3.82998102467,1415.64,2.68622390892,2015-01-16,2016-03-28
1007,4797,DES MOINES,15.2375436909,52605.36,177.122424242,50316,Polk,1435.28,4.83259259259,4077.0,13.7272727273,2015-01-13,2016-03-30
1009,4799,DES MOINES,14.9730412293,38501.93,123.009361022,50317,Polk,1512.79,4.83319488818,2839.0,9.07028753994,2015-01-12,2016-03-28
1018,4808,COUNCIL BLUFFS,17.3797466501,58717.8,110.371804511,51501,Pottawattamie,1950.67,3.66667293233,4067.99,7.64659774436,2015-01-12,2016-03-28
1022,4813,GRAND MOUND,17.7039998773,33364.14,70.3884810127,52751,Clinton,2016.47,4.25415611814,2641.29,5.57234177215,2015-01-22,2016-03-24
1023,4817,KNOXVILLE,17.2894970416,28137.48,74.6352254642,50138,Marion,1337.05,3.54655172414,2216.9,5.88037135279,2015-01-28,2016-03-23
1028,4823,CRESTON,15.6637900312,23133.17,58.8630279898,50801,Union,1414.77,3.59992366412,2020.84,5.14208651399,2015-01-27,2016-03-22
1032,4828,MARSHALLTOWN,17.6317133365,56569.88,187.939800664,50158,Marshall,1123.12,3.73129568106,4239.9,14.0860465116,2015-01-13,2016-03-22
1034,4831,BOONE,18.3674719387,23088.14,58.1565239295,50036,Boone,1823.4,4.59294710327,1880.5,4.73677581864,2015-01-15,2016-03-30
1036,4836,IOWA CITY,16.8196914285,71522.11,91.8127214377,52240,Johnson,3023.41,3.88114249037,5599.19,7.18766367137,2015-01-21,2016-03-30
1042,4843,MUSCATINE,20.8022287003,12690.95,35.8501412429,52761,Muscatine,1445.36,4.08293785311,718.94,2.0309039548,2015-01-26,2016-03-21
1047,4848,WINTERSET,18.0295983911,44952.67,71.924272,50273,Madison,2369.92,3.791872,3055.43,4.888688,2015-01-20,2016-03-29
1051,4854,ARMSTRONG,14.9266263919,32621.58,162.29641791,50514,Emmet,770.09,3.83129353234,2717.1,13.5179104478,2015-01-13,2016-03-22
1053,4856,LISBON,14.7085956316,96083.92,79.4081983471,52253,Linn,5629.87,4.65278512397,8164.29,6.74734710744,2015-01-12,2016-03-21
1067,4873,GRANGER,14.7269681055,35391.47,71.2102012072,50109,Dallas,1808.83,3.63949698189,3181.77,6.40195171026,2015-01-13,2016-03-29
1073,4880,ANITA,15.3469164715,14201.88,116.408852459,50020,Cass,460.78,3.7768852459,1051.35,8.61762295082,2015-01-26,2016-03-21
1075,4882,ST CHARLES,15.9041844554,22973.74,132.032988506,50240,Madison,658.12,3.78229885057,1881.34,10.8122988506,2015-01-15,2016-03-31
1077,4884,SIOUX CITY,16.2382725278,36800.88,111.180906344,51106,Woodbury,1273.04,3.84604229607,3057.28,9.23649546828,2015-01-14,2016-03-30
1079,4887,WEST DES MOINES,16.4212696003,36463.06,116.868782051,50266,Polk,1347.68,4.31948717949,2400.38,7.69352564103,2015-01-13,2016-03-22
1085,4893,WEST DES MOINES,15.1003344298,52191.75,85.8416940789,50265,Polk,1975.01,3.24837171053,3982.95,6.55090460526,2015-01-15,2016-03-31
1097,4908,ELKADER,16.968990194,42712.4,52.2156479218,52043,Clayton,4027.1,4.92310513447,3406.83,4.16482885086,2015-01-12,2016-03-21
1101,4912,ELDRIDGE,15.8402306141,33644.12,91.9238251366,52748,Scott,1326.88,3.62535519126,2752.1,7.5193989071,2015-01-15,2016-03-24
1104,4917,PERRY,16.0049065854,26185.06,58.9753603604,50220,Dallas,1633.34,3.67869369369,2122.86,4.78121621622,2015-01-15,2016-03-24
1107,4921,CEDAR RAPIDS,19.3851717245,43811.76,66.482185129,52404,Linn,2412.14,3.66030349014,3033.76,4.60358118361,2015-01-21,2016-03-30
1109,4924,NASHUA,15.5653862206,53273.39,76.5422270115,50658,Chickasaw,3186.16,4.57781609195,4433.4,6.36982758621,2015-01-20,2016-03-29
1110,4925,URBANDALE,15.7020879139,31926.66,74.595,50266,Polk,1623.93,3.79422897196,2395.67,5.59735981308,2015-01-13,2016-03-28
1111,4926,DES MOINES,22.8760138146,35496.26,47.4548930481,50322,Polk,3306.25,4.42012032086,1934.98,2.58687165775,2015-01-15,2016-03-31
1112,4927,WEST DES MOINES,17.561978752,29291.26,52.0271047957,50265,Polk,2191.53,3.89259325044,2092.51,3.71671403197,2015-01-26,2016-03-28
1114,4930,BOONE,16.9267063492,19512.18,125.078076923,50036,Boone,606.11,3.88532051282,1374.25,8.80929487179,2015-01-13,2016-03-30
1115,4932,CEDAR FALLS,16.9371570346,100284.89,105.452039958,50613,Black Hawk,3843.21,4.04123028391,7462.06,7.8465404837,2015-01-14,2016-03-30
